UK	UNIQUE_GLOSS	ENGLISH_GLOSS	LWT_KEY	LWT_GLOSS	PART_OF_SPEECH	SEMANTIC_FIELD	OMEGA_WIKI	EXAMPLE CONTEXT/EXPLANATION	ENGLISH_GLOSS	SPANISH_GLOSS	Alternative Omega Wiki Links	FRENCH_GLOSS	PORTUGUESE_GLOSS	GERMAN_TRANSLATION	RUSSIAN_GLOSS
1496	TO BE GLAD	be glad	16.99908	to be glad	Verb	Emotions and values	NA		to be glad	-		-	-	-	-
634	THE BISCUIT	biscuit	5.99906	the biscuit	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:biscuit_(1510510)		biscuit	galleta		-	-	-	-
635	THE BRANDY	brandy	5.99907	the brandy	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:brandy_(906315)		brandy	brandy		-	-	-	-
636	THE CABBAGE	cabbage	5.99908	the cabbage	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:cabbage_(344475)		cabbage	repollo		-	-	-	-
637	THE CASSAVA FLOUR	cassava flour	5.99909	the cassava flour	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:cassava_flour_(1510514)		cassava flour	tapioca		-	-	-	-
629	THE FIG TREE	fig tree	5.99901	the fig tree	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:fig_tree_(1510506)		fig tree	higuera		-	-	-	-
640	THE JELLY	jelly	5.99912	the jelly	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:jelly_(6252)		jelly	gelatina		-	-	-	-
642	THE MOCHI	mochi	5.99914	the mochi	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:mochi_(1510518)		mochi			-	-	-	-
645	THE MUSUBI	musubi	5.99916	the rice ball or musubi	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:musubi_(1510526)		rice ball or musubi			-	-	-	-
651	THE TORTILLA	tortilla	5.99921	the tortilla	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:omelette_(332233)		tortilla	tortilla		-	-	-	-
643	THE RAMEN NOODLES	ramen noodles	5.99915	the ramen noodles	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:ramen_(467328)	called 'saimin' in Hawaii	ramen noodles	fideos japonés ?		-	-	-	-
647	THE SMOKED FOOD	smoked food	5.99918	the smoked food	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:räuchern_(898998))		smoked food	comida ahumada		-	-	-	-
644	THE RICE BALL	rice ball	5.99916	the rice ball or musubi	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:rice_ball_(1510522)		rice ball or musubi	bola de arroz ?		-	-	-	-
638	THE CREAM	cream	5.9991	the cream	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:room_(6929)		cream	nata		-	-	-	-
630	SATED	sated	5.99902	sated	Adjective	Food and drink	http://www.omegawiki.org/DefinedMeaning:satt_(1188869)	satiated, full up	sated	saciado		-	-	-	-
631	THE SOY SAUCE	soy sauce	5.99903	the soy sauce	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:Sojasauce_(909894)		soy sauce	salsa de soja, sillao		-	-	-	-
633	THE BACON	bacon	5.99905	the bacon	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:spek_(859210)		bacon	beicon, tocino		-	-	-	-
648	THE TAMALE	tamale	5.99919	the tamale	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:tamale_(1510530)		tamale	tamal		-	-	-	-
652	THE VINEGAR	vinegar	5.99922	the vinegar	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:vinegar_(423392)		vinegar	vinagre		-	-	-	-
649	THE TOFU	tofu	5.9992	the tofu or bean curd	Noun	Food and drink	http://www.omegawiki.org/DefinedMeaning:who_(5530)		tofu or bean curd			-	-	-	-
632	THE AYAHUASCA	ayahuasca	5.99904	the ayahuasca	Noun	Food and drink	NA	a psychoactive infusion prepared from the Banisteriopsis spp	ayahuasca			-	-	-	-
639	THE JAPANESE FISH CAKE	Japanese fish cake	5.99911	the Japanese fish cake	Noun	Food and drink	NA		Japanese fish cake	croqueta de pescado japonésa ?		-	-	-	-
641	THE MANIOC JUICE	manioc juice	5.99913	the manioc juice	Noun	Food and drink	NA		manioc juice	zumo de la yuca ?		-	-	-	-
646	THE ROASTED CASSAVA MEAL	roasted cassava meal	5.99917	the roasted cassava meal	Noun	Food and drink	NA		roasted cassava meal			-	-	-	-
181	THE CO-FATHER-IN-LAW	co-father-in-law	2.99903	the co-father-in-law	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:co-father-in-law_(1394434)	the father-in-law of ego’s child	co-father-in-law	-		-	-	Co-Schwiegervater	-
182	THE CO-MOTHER-IN-LAW	co-mother-in-law	2.99904	the co-mother-in-law	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:co-mother-in-law_(1394400)	the mother-in-law of ego’s child	co-mother-in-law	-		-	-	Co-Schwiegermutter	-
184	THE GERMAN	German	2.99906	the German	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:German_(5696)		German	alemán/alemana		Allemand, Allemande	-	Deutscher	-
195	THE STEPCHILD	stepchild	2.99917	the stepchild	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:hijastro_(454205)		stepchild	hijastro/hijastra		-	-	Stiefkind	-
185	THE HUNGARIAN	Hungarian	2.99907	the Hungarian	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:Hungarian_(383336)		Hungarian	húngaro/húngara		Hongrois, Hongroise	-	Ungare	-
194	THE SPOUSE	spouse	2.99916	the spouse	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:Jeshponß_(157536)		spouse	cónyuge		mari, femme, époux	-	Ehegespons	-
186	THE LOVER	lover	2.99908	the lover	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:lover_(874445)		lover	amante		amant, maîtresse	-	Liebhaber	-
187	THE MOTHER-IN-LAW	mother-in-law	2.99909	the mother-in-law	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:mother_in_law_(452350)		mother-in-law	suegra		belle-mère	-	Schwiegermutter	-
193	THE SLOVAK	Slovak	2.99915	the Slovak	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:slovák_(355484)		Slovak	eslovaco/eslovaca		Slovaque	-	Slovake	-
183	THE FATHER-IN-LAW	father-in-law	2.99905	the father-in-law	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:suegro_(454081)		father-in-law	suegro		beau-père	-	Schwiegervater	-
189	THE PARENT'S ELDER BROTHER	parent's elder brother	2.99911	the parent's elder brother	Noun	Kinship	NA		parent's elder brother	-		-	-	Onkel	-
190	THE PARENT'S ELDER SISTER	parent's elder sister	2.99912	the parent's elder sister	Noun	Kinship	NA		parent's elder sister	-		-	-	Tante	-
191	THE PARENT'S YOUNGER BROTHER	parent's younger brother	2.99913	the parent's younger brother	Noun	Kinship	NA		parent's younger brother	-		-	-	Onkel	-
192	THE PARENT'S YOUNGER SISTER	parent's younger sister	2.99914	the parent's younger sister	Noun	Kinship	NA		parent's younger sister	-		-	-	Tante	-
1779	THE LAWYER	lawyer	21.99901	the lawyer	Noun	Law	http://www.omegawiki.org/DefinedMeaning:lawyer_(350379)		lawyer	-		-	-	-	-
1780	THE VERDICT	verdict	21.99902	the verdict	Noun	Law	http://www.omegawiki.org/DefinedMeaning:verdict_(1511130)		verdict	-		-	-	-	-
1903	BUT	but	24.99901	and or but	Function word	Miscellaneous function words	http://www.omegawiki.org/DefinedMeaning:but_(6488)		and or but	-	http://www.omegawiki.org/DefinedMeaning:but_(6484), http://www.omegawiki.org/DefinedMeaning:but_(6485)	-	-	-	-
1904	CAN	can	24.99902	can	Function word	Miscellaneous function words	http://www.omegawiki.org/DefinedMeaning:can_(6490)		can	-	http://www.omegawiki.org/DefinedMeaning:can_(6491)	-	-	-	-
1909	NEITHER	neither	24.99908	neither	Function word	Miscellaneous function words	http://www.omegawiki.org/DefinedMeaning:either_(340905)		neither	-	http://www.omegawiki.org/DefinedMeaning:neither_(333981)	-	-	-	-
1905	HEY!	hey!	24.99904	hey!	Function word	Miscellaneous function words	http://www.omegawiki.org/DefinedMeaning:hello_(5581)		hey!	-	http://www.omegawiki.org/DefinedMeaning:Nanu!_(470951)	-	-	-	-
1910	NOR	nor	24.99909	nor	Function word	Miscellaneous function words	http://www.omegawiki.org/DefinedMeaning:ni_(1468363)		nor	-		-	-	-	-
1911	SOMEONE	someone	24.9991	someone	Function word	Miscellaneous function words	http://www.omegawiki.org/DefinedMeaning:someone_(6335)		someone	-	http://www.omegawiki.org/DefinedMeaning:person_(333730)	-	-	-	-
1913	THEN	then	24.99912	then	Function word	Miscellaneous function words	http://www.omegawiki.org/DefinedMeaning:then_(1360510)		then	-	http://www.omegawiki.org/DefinedMeaning:then_(1379890)	-	-	-	-
1916	WHICH	which	24.99917	which	Function word	Miscellaneous function words	http://www.omegawiki.org/DefinedMeaning:which_(338249)		which	-	http://www.omegawiki.org/DefinedMeaning:which_(338269)	-	-	-	-
1902	AND (or BUT)	and	24.99901	and or but	Function word	Miscellaneous function words	NA		and or but	-		-	-	-	-
1906	(INTERROGATIVE)		24.99905	(interrogative)	Function word	Miscellaneous function words	NA		(interrogative)	-		-	-	-	-
1907	LET	let	24.99906	let	Function word	Miscellaneous function words	NA		let	-		-	-	-	-
1908	(NEGATIVE MARKER)		24.99907	(negative marker)	Function word	Miscellaneous function words	NA		(negative marker)	-		-	-	-	-
1912	(SUPERLATIVE MARKER)		24.99911	(superlative marker)	Function word	Miscellaneous function words	NA		(superlative marker)	-		-	-	-	-
1914	THEY (DUAL)	they	24.99913	they (dual)	Function word	Miscellaneous function words	NA		they (dual)	-		-	-	-	-
1915	WE (DUAL INCLUSIVE)	we	24.99914	we (dual inclusive)	Function word	Miscellaneous function words	NA		we (dual inclusive)	-		-	-	-	-
1917	YOU (DUAL)	you	24.99919	you (dual)	Function word	Miscellaneous function words	NA		you (dual)	-		-	-	-	-
1887	THE LICENSE	license	23.99901	the license	Noun	Modern world	http://www.omegawiki.org/DefinedMeaning:license_(7668)		license	-		-	-	-	-
1129	TO ACCOMPANY	accompany	10.99901	to accompany	Verb	Motion	http://www.omegawiki.org/DefinedMeaning:acompañar_(638652)		to accompany	-		-	-	-	-
1131	TO DIP	dip	10.99904	to dip	Verb	Motion	http://www.omegawiki.org/DefinedMeaning:dip_(1511014)		to dip	-		-	-	-	-
1133	PASS	pass	10.99906	to pass	Function word	Motion	http://www.omegawiki.org/DefinedMeaning:pass_(842597)		to pass	-		-	-	-	-
1134	TO STEP	step	10.99907	to step	Verb	Motion	http://www.omegawiki.org/DefinedMeaning:step_(1511017)		to step	-		-	-	-	-
1135	TO WAIT	wait	10.99908	to wait	Verb	Motion	http://www.omegawiki.org/DefinedMeaning:wait_(6530)		to wait	-		-	-	-	-
1130	TO CARRY ON THE BACK	carry on the back	10.99903	to carry on the back	Verb	Motion	NA		to carry on back	-		-	-	-	-
1132	TO GIVE A RIDE	give a ride	10.99905	to give a ride	Verb	Motion	NA		to give a ride	-		-	-	-	-
1185	THE CARD	card	11.99902	the card	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:card_(6378)		card	-		-	-	-	-
1188	THE STRING INSTRUMENT	string instrument	11.99905	the string instrument	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:chordofoon_(400958)		string instrument	-		-	-	-	-
1189	TO BE WORTH	be worth	11.99906	to be worth	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:etmek_(1381836)		to be worth	-		-	-	-	-
1186	THE GIFT	gift	11.99903	the gift	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:gift_(5611)		gift	-		-	-	-	-
1184	FOR FREE	for free	11.99901	for free	Adverb	Possession	http://www.omegawiki.org/DefinedMeaning:gratuitement_(1262281)		for free	-		-	-	-	-
1187	THE PROPERTY	property	11.99904	the property	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:property_(435478)		property	-		-	-	-	-
1190	THE RECEIVE	receive	11.99907	to receive	Noun	Possession	NA		to receive	-		-	-	-	-
1312	THE CENTIGRAM	centigram	13.99904	the centigram	Noun	Quantity	http://www.omegawiki.org/DefinedMeaning:centigram_(1279033)		centigram	-		-	-	-	-
1315	TO FILL	fill	13.99907	to fill	Verb	Quantity	http://www.omegawiki.org/DefinedMeaning:fill_(962533)		to fill	-		-	-	-	-
1308	A LITTLE	a little	13.99901	a little	Function word	Quantity	http://www.omegawiki.org/DefinedMeaning:ligeramente_(904463)		a little	-		-	-	-	-
1316	SUBSTITUTE	substitute	13.99908	to substitute	Function word	Quantity	http://www.omegawiki.org/DefinedMeaning:substitute_(1092173)		to substitute	-		-	-	-	-
1314	THIRTY	thirty	13.99906	thirty	Function word	Quantity	http://www.omegawiki.org/DefinedMeaning:thirty_(7017)		thirty	-		-	-	-	-
1313	THE YARD	yard	13.99905	the yard	Noun	Quantity	http://www.omegawiki.org/DefinedMeaning:yard_(339629)		yard	-		-	-	-	-
1309	BY	by	13.99902	by	Function word	Quantity	NA		by	-		-	-	-	-
1310	EACH	each	13.99903	each or every	Function word	Quantity	NA		each or every	-		-	-	-	-
1311	EVERY	every	13.99903	each or every	Function word	Quantity	NA		each or every	-		-	-	-	-
1812	THE BISHOP	bishop	22.99904	the bishop	Noun	Religion and belief	http://www.omegawiki.org/DefinedMeaning:bishop_(360303)		bishop	-		-	-	-	-
1811	THE EASTER	Easter	22.99903	Easter	Noun	Religion and belief	http://www.omegawiki.org/DefinedMeaning:Easter_(472531)		Easter	-		-	-	-	-
1813	THE FUNERAL	funeral	22.99905	the funeral	Noun	Religion and belief	http://www.omegawiki.org/DefinedMeaning:funeral_(159253)		funeral	-		-	-	-	-
1809	THE CHRIST	Christ	22.99901	Christ	Noun	Religion and belief	http://www.omegawiki.org/DefinedMeaning:gentile_(1171138)		Christ	-		-	-	-	-
1814	THE HOLIDAY	holiday	22.99906	the holiday	Noun	Religion and belief	http://www.omegawiki.org/DefinedMeaning:holiday_(5833)		holiday	-		-	-	-	-
1815	THE HYMN	hymn	22.99907	the hymn	Noun	Religion and belief	http://www.omegawiki.org/DefinedMeaning:hymn_(863202)		hymn	-		-	-	-	-
1810	THE CHRISTMAS	Christmas	22.99902	Christmas	Noun	Religion and belief	http://www.omegawiki.org/DefinedMeaning:Kerstmis_(397467)		Christmas	-		-	-	-	-
1816	THE LENT	lent	22.99908	the lent	Noun	Religion and belief	http://www.omegawiki.org/DefinedMeaning:Lent_(1190083)		lent	-		-	-	-	-
1817	THE MUSLIM	Muslim	22.99909	the Muslim	Noun	Religion and belief	http://www.omegawiki.org/DefinedMeaning:musulm%C3%A1n_(799106)		Muslim	-		-	-	-	-
1818	THE ROSARY	rosary	22.9991	the rosary	Noun	Religion and belief	http://www.omegawiki.org/DefinedMeaning:rosario_(426642)		rosary	-	http://www.omegawiki.org/DefinedMeaning:rosario_(426631)	-	-	-	-
1819	THE SHAMAN	shaman	22.99911	the shaman	Noun	Religion and belief	http://www.omegawiki.org/DefinedMeaning:shaman_(1511147)		shaman	-		-	-	-	-
1820	THE SHAMAN'S SPIRIT	shaman's spirit	22.99912	the shaman's spirit	Noun	Religion and belief	NA		shaman's spirit	-		-	-	-	-
1821	THE SHAMANISTIC SONG	shamanistic song	22.99913	the shamanistic song	Noun	Religion and belief	NA		shamanistic song	-		-	-	-	-
1822	THE WOMAN'S RATTLE	woman's rattle	22.99914	the woman's rattle	Noun	Religion and belief	NA		woman's rattle	-		-	-	-	-
1431	BROWN	brown	15.99901	brown	Adjective	Sense perception	http://www.omegawiki.org/DefinedMeaning:brown_(6938)		brown	-		-	-	-	-
1432	GREY	grey	15.99902	grey	Adjective	Sense perception	http://www.omegawiki.org/DefinedMeaning:grey_(1325782)		grey	-		-	-	-	-
1433	ORANGE	orange	15.99903	orange	Adjective	Sense perception	http://www.omegawiki.org/DefinedMeaning:orange_(1384019)		orange	-		-	-	-	-
1434	PINK	pink	15.99904	pink	Adjective	Sense perception	http://www.omegawiki.org/DefinedMeaning:pink_(158482)		pink	-		-	-	-	-
1436	VIOLET	violet	15.99906	violet	Adjective	Sense perception	http://www.omegawiki.org/DefinedMeaning:roxo_(8416)		violet	-		-	-	-	-
1435	THE TRACE	trace	15.99905	the trace	Noun	Sense perception	http://www.omegawiki.org/DefinedMeaning:trace_(155151)		trace	-		-	-	-	-
1659	THE ARABIA	Arabia	19.99901	Arabia	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:Arabian_Peninsula_(798969)		Arabia	-		-	-	-	-
1660	THE AUSTRALIA	Australia	19.99902	Australia	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:Australia_(5776)		Australia	-	http://www.omegawiki.org/DefinedMeaning:Australien_(7880)	-	-	-	-
1694	THE BALLOT	ballot	19.99937	the vote or ballot or pole	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:ballot_(432997)		vote or ballot or pole	-		-	-	-	-
1676	THE BLACK PERSON	black person	19.99918	the Creole or black person	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:black_(356722)		Creole or black person	-		-	-	-	-
1670	THE BRAZILIAN	Brazilian	19.99913	the Brazilian	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:Brazilian_(482476)		Brazilian	-		-	-	-	-
1671	THE CERTIFICATE	certificate	19.99914	the certificate	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:certificate_(347504)		certificate	-		-	-	-	-
1661	THE CHINA	China	19.99903	China	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:China_(155279)		China	-		-	-	-	-
1672	THE CHINESE PERSON	Chinese person	19.99915	the Chinese person	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:Chinese_(734148)		Chinese person	-	http://www.omegawiki.org/DefinedMeaning:Chinese_(492714)	-	-	-	-
1696	TO COMMIT A CRIME	commit a crime	19.99938	to commit a crime	Verb	Social and political relations	http://www.omegawiki.org/DefinedMeaning:commit_(986514)		to commit a crime	-		-	-	-	-
1675	THE CREOLE	Creole	19.99918	the Creole or black person	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:Creole_(1226180)		Creole or black person	-	http://www.omegawiki.org/DefinedMeaning:Creole_(1226183), http://www.omegawiki.org/DefinedMeaning:Creole_(1226186)	-	-	-	-
1700	TO SAY GOODBYE	say goodbye	19.99943	to say goodbye	Verb	Social and political relations	http://www.omegawiki.org/DefinedMeaning:despedir_(485497)		to say goodbye	-		-	-	-	-
1662	THE EGYPT	Egypt	19.99904	Egypt	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:Egypt_(8347)		Egypt	-		-	-	-	-
1674	THE EUROPEAN	European	19.99917	the European	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:European_(8068)		European	-		-	-	-	-
1677	THE FOOL	fool	19.9992	the fool	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:fool_(6049)		fool	-	http://www.omegawiki.org/DefinedMeaning:patsy_(1164917)	-	-	-	-
1679	THE FRENCH PERSON	French person	19.99922	the French person	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:French_(5694)		French person	-		-	-	-	-
1664	THE GREECE	Greece	19.99906	Greece	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:Greece_(7958)		Greece	-		-	-	-	-
1681	THE HERMIT	hermit	19.99924	the hermit	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:hermit_(899362)		hermit	-		-	-	-	-
1682	THE HOCKEY	hockey	19.99925	the hockey	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:hockey_(505901)		hockey	-		-	-	-	-
1665	THE INDIA	India	19.99907	India	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:India_(5733)		India	-		-	-	-	-
1688	THE SETTLEMENT	settlement	19.99932	the settlement	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:insediamento_(515194)		settlement	-		-	-	-	-
1683	THE LAYMAN	layman	19.99926	the layman	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:leek_(360349)		layman	-		-	-	-	-
1666	THE MADAGASCAR	Madagascar	19.99908	Madagascar	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:Madagascar_(8426)		Madagascar	-		-	-	-	-
1701	THE MATE	mate	19.99944	mate	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:mate_(1006515)		mate	-		-	-	-	-
1685	THE PARTNER	partner	19.99928	the partner	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:partner_(335088)		partner	-	http://www.omegawiki.org/DefinedMeaning:associate_(439360)	-	-	-	-
1686	THE POLICEMAN	policeman	19.9993	the policeman	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:policeman_(8202)		policeman	-		-	-	-	-
1687	THE POWER	power	19.99931	the power	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:potere_(692473)		power	-		-	-	-	-
1693	THE VOTE	vote	19.99937	the vote or ballot or pole	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:r%C3%B6st_(158155)		vote or ballot or pole	-		-	-	-	-
1667	THE RAROTONGA	Rarotonga	19.99909	Rarotonga	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:Rarotongan_(1006724)		Rarotonga	-		-	-	-	-
1698	TO RESPECT	respect	19.99941	to respect	Verb	Social and political relations	http://www.omegawiki.org/DefinedMeaning:respect_(1511098)		to respect	-		-	-	-	-
1699	TO RETIRE	retire	19.99942	to retire	Verb	Social and political relations	http://www.omegawiki.org/DefinedMeaning:retire_(1343445)		to retire	-		-	-	-	-
1697	TO QUARREL	quarrel	19.9994	to quarrel	Verb	Social and political relations	http://www.omegawiki.org/DefinedMeaning:se_disputer_(1241323)		to quarrel	-		-	-	-	-
1668	SIR	Sir	19.9991	Sir	Function word	Social and political relations	http://www.omegawiki.org/DefinedMeaning:sir_(465294)		Sir	-		-	-	-	-
1690	THE SOCIALISM	socialism	19.99934	the socialism	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:socialism_(7843)		socialism	-		-	-	-	-
1669	THE SPAIN	Spain	19.99911	Spain	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:Spain_(7965)		Spain	-		-	-	-	-
1691	THE SPORT	sport	19.99935	the sport	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:sport_(3592)		sport	-		-	-	-	-
1692	THE STUDENT	student	19.99936	the student	Noun	Social and political relations	http://www.omegawiki.org/DefinedMeaning:student_(5975)		student	-	http://www.omegawiki.org/DefinedMeaning:leerling_(353776)	-	-	-	-
1663	FREE	free	19.99905	free	Adjective	Social and political relations	NA		free	-		-	-	-	-
1673	THE COMMUNAL LABOUR	communal labour	19.99916	the communal labour	Noun	Social and political relations	NA		communal labour	-		-	-	-	-
1678	THE FOREMAN	foreman	19.99921	the foreman	Noun	Social and political relations	NA		foreman	-		-	-	-	-
1680	THE GOVERNMENT DOCUMENT	government document	19.99923	the government document	Noun	Social and political relations	NA		government document	-		-	-	-	-
1684	THE MIXED-RACE KALI'NA	mixed-race Kali'na	19.99927	the mixed-race Kali'na	Noun	Social and political relations	NA		mixed-race Kali'na	-		-	-	-	-
1689	THE SMALL CHANGE	small change	19.99933	the small change	Noun	Social and political relations	NA		small change	-		-	-	-	-
1695	THE POLE	pole	19.99937	the vote or ballot or pole	Noun	Social and political relations	NA		vote or ballot or pole	-		-	-	-	-
1266	APART	apart	12.99901	apart	Function word	Spatial relations	http://www.omegawiki.org/DefinedMeaning:aparte_(520618)		apart	-		-	-	-	-
1267	BACK	back	12.99902	back	Adverb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:back_(5646)		back	-		-	-	-	-
1618	TO SPELL	spell	18.9991	to spell	Verb	Speech and language	http://www.omegawiki.org/DefinedMeaning:buchstabieren_(413739)		to spell	-		-	-	-	-
1613	THE CAPITAL LETTER	capital letter	18.99905	the upper case or capital letter	Noun	Speech and language	http://www.omegawiki.org/DefinedMeaning:capital_letter_(1511084)		upper case or capital letter	-		-	-	-	-
1616	TO CHAT	chat	18.99908	to chat	Verb	Speech and language	http://www.omegawiki.org/DefinedMeaning:chat_(918205)		to chat	-	http://www.omegawiki.org/DefinedMeaning:chat_(1304122)	-	-	-	-
1609	THE HIEROGLYPHICS	hieroglyphics	18.99902	the hieroglyph or hieroglyphics	Noun	Speech and language	http://www.omegawiki.org/DefinedMeaning:escritura_Jerogl%C3%ADfica_egipcia_(639710)		hieroglyph or hieroglyphics	-		-	-	-	-
1607	THE FAIRY TALE	fairy tale	18.99901	the fairy tale	Noun	Speech and language	http://www.omegawiki.org/DefinedMeaning:fairy_tale_(377540)		fairy tale	-		-	-	-	-
1608	THE HIEROGLYPH	hieroglyph	18.99902	the hieroglyph or hieroglyphics	Noun	Speech and language	http://www.omegawiki.org/DefinedMeaning:hieroglyph_(639674)		hieroglyph or hieroglyphics	-		-	-	-	-
1610	THE JOKE	joke	18.99903	the joke	Noun	Speech and language	http://www.omegawiki.org/DefinedMeaning:joke_(7971)		joke	-		-	-	-	-
1617	TO GREET	greet	18.99909	to greet	Verb	Speech and language	http://www.omegawiki.org/DefinedMeaning:kamauri_(626707)		to greet	-		-	-	-	-
1611	THE POEM	poem	18.99904	the poem	Noun	Speech and language	http://www.omegawiki.org/DefinedMeaning:poema_(1473788)		poem	-		-	-	-	-
1619	TO THANK	thank	18.99911	to thank	Verb	Speech and language	http://www.omegawiki.org/DefinedMeaning:thank_(485242)		to thank	-		-	-	-	-
1612	THE UPPER CASE	upper case	18.99905	the upper case or capital letter	Noun	Speech and language	http://www.omegawiki.org/DefinedMeaning:upper_case_(1511080)		upper case or capital letter	-		-	-	-	-
1614	THE VIOLIN	violin	18.99906	the violin	Noun	Speech and language	http://www.omegawiki.org/DefinedMeaning:violin_(348995)		violin	-		-	-	-	-
1615	THE VIOLIN PLAYER	violin player	18.99907	the violin player	Noun	Speech and language	NA		violin player	-		-	-	-	-
1620	THE ULULATE	ululate	18.99912	to ululate	Noun	Speech and language	NA		to ululate	-		-	-	-	-
531	THE CANINE TOOTH	canine tooth	4.99903	the canine tooth	Noun	The body	http://www.omegawiki.org/DefinedMeaning:canine_(1497826)		canine tooth	(diente) canino		canine	-	-	-
532	THE CHOLESTEROL	cholesterol	4.99904	the cholesterol	Noun	The body	http://www.omegawiki.org/DefinedMeaning:cholesterol_(438873)		cholesterol	colesterol		cholestérine	-	-	-
530	SWOLLEN	swollen	4.99902	swollen	Adjective	The body	http://www.omegawiki.org/DefinedMeaning:conceited_(1082323)		swollen	hinchado		gonflé	-	-	-
535	THE LAP	lap	4.99907	the lap	Noun	The body	http://www.omegawiki.org/DefinedMeaning:haunch_(7919)		lap	regazo		-	-	-	-
541	TO ITCH	itch	4.99914	to itch	Verb	The body	http://www.omegawiki.org/DefinedMeaning:itch_(1312155)		to itch	picar		-	-	-	-
536	THE METABOLISM	metabolism	4.99908	the metabolism	Noun	The body	http://www.omegawiki.org/DefinedMeaning:metabolism_(2313)		metabolism	metabolismo		-	-	-	-
534	THE FIST	fist	4.99906	the fist	Noun	The body	http://www.omegawiki.org/DefinedMeaning:pugno_(615259)		fist	puño		poing	-	-	-
533	THE DRIBBLE	dribble	4.99905	the dribble	Noun	The body	http://www.omegawiki.org/DefinedMeaning:sabbern_(1351256)		dribble	baba		éclaboussure	-	-	-
538	THE SCABIES	scabies	4.99911	the scabies	Noun	The body	http://www.omegawiki.org/DefinedMeaning:scabies_(1071412)		scabies	sarna		-	-	-	-
529	BAREFOOT	barefoot	4.99901	barefoot	Adjective	The body	http://www.omegawiki.org/DefinedMeaning:scalzo_(468880)		barefoot	descalzo		nu-pieds	-	-	-
